ID	Name	Split
1024	Nth Generation, HP	True
1034	Dell, Inc., Cabarrus County Schools	True
1038	@iLabAfrica, Strathmore University	True
1057	CEO CM Basics, Inc.	False
1063	Ci2i Services, Inc. 	False
1073	Zoniac Inc.,	False
1084	Contrail Systems, Cisco	True
1087	iGATE, Patni	True
1092	FreeFlow; LoomisBurton, LLC; Plum Creek Development; French Oil Mill Machinery Company	SEMICOLON
1094	Beijing Fortunet; ApeirOne, Inc.	SEMICOLON
1099	Cooperative Institute for Research in the Atmosphere, Colorado State University	False
1101	Access3000, Inc.	False
1109	Below92, LLC	False
1112	Broadcast Interactive Media	True
1116	Segurisate,Lda.	False
1123	Neopost USA, SeaChange International	True
1130	Cisco, E(Angelos) Charalambous LTD	True
1134	Getnet inc, Intel	True
1137	Atos, T-Systems, Metro Systems	True
1166	Applied Data Consultants, Inc.	False
1173	Viagul & Xavier Enterprise, Icareerd Institute of Technology	True
1185	Piston Cloud, Microsoft	True
1203	Pacnet, Contiguance	True
1208	tech profuse, inc	False
1215	Cisco, VCE	True
1216	VCE, EMC, Cisco, VMware	True
1220	nEXUS is, emc, hds	True
1227	IBM, Arsenal Digital Solutions	True
1238	Cleversafe, Inc.	False
1243	Harris Corporation, Code Techs LLC	True
1264	Leonard Jaffe Computer Systems Consulting, Ltd.	False
1268	Guavus Inc, Petronia Inc	True
1272	Attributor, Digimarc	True
1276	DigiCare Technology Solutions, Time Warner Cable	True
1294	Proactive Education, Inc.	False
1299	IBM Singapore, HP	True
1303	EFI, Inc	False
1323	Exist Software Labs, Morphlabs Inc.	True
1336	Wuhan OS-easy Technology Co.,ltd	False
1342	qingdao jiahua networks co.,ltd.	False
1344	Nexus IS, Inc.	False
1345	PayPal, X.commerce	True
1361	Make Lehigh Valley, Cross Link Group	True
1376	Ubuntu, Canonical	True
1380	Riverturn, Inc.	False
1388	Red Hat, Inc	False
1389	Metacloud, Inc.	False
2007	Salt Stack, Inc.	False
1396	Optum Insight, Bluehost, Rubber Ruby Software	True
1431	NetApp, Inc.	False
1437	Apollo Group, Inc.	False
1439	InterSection Unlimited, Manning Publications Co	True
1441	Bytejam, inc.	False
1445	Bloombase, Inc.	False
1454	Law Office of Lisa S. Miller, PLLC	False
1459	Metacloud, Inc	False
1479	ClearwaterAnalytics.com,ZebPalmer.com	True
1499	HP, RightScale	True
1510	RightScale, inc.	False
1512	RightScale, Inc.	False
1530	NationBuilder, freenode	True
1536	Alcatel-Lucent, Nuage Networks	True
1539	Lyatiss, Inc.	False
1542	Groupware Technology, Inc.	False
1568	Emerge Advanced Technology Solutions, LLC	False
1575	Sentilla Corporation, Yahoo Inc	True
1579	Integral and Open Systems,Inc	False
1583	Inktank, DreamHost	True
1633	SSD Nodes, Inc.	False
1639	Yahoo, Nutanix	True
1641	VMware, Nicira, Telstra, Accenture	True
1645	ISACA, Firecracker PM, VMware	True
1646	Spigit, Inc.	False
1657	Lianja, Recital Corporation	True
1659	Cisco Systems Inc., Intel, Microsoft, Dorkbotz	True
1660	Frontporch, INC	False
1664	FI-UNER, ENERSA	True
1666	OM Holdings, LLC.; OpenStack Users Chicago	SEMICOLON
1670	OneHealth Solutions, Inc.	False
1676	Rackspace Hosting, Inc.	False
1693	Nebula, Inc	False
1701	NEC Soft, Ltd.	False
1707	VB Datacom, LLC	False
1718	Quotient Solutions, Inc.	False
1728	Red Hat, Inc.	False
1736	UScontracting, Inc	False
1760	Hitachi, Ltd.	False
1766	Anna University, Chennai	False
1769	Panel Processing, Inc	False
1775	orange, cloudwatt	True
1782	Saules spektras, Latvijas talrunis	True
1783	Exact Marketing Formula, LLC	False
1789	OpenStack Foundation, HP	True
1792	NodePrime, Inc.	False
1797	Coastside Ventures, LLC	False
1821	GMO Internet, Inc.	False
1855	VEXXHOST, Inc.	False
1885	Red Hat, vmware	True
1886	Research Center for Cloud Computing, North China University of Technology	False
1890	PMR(LEIRIA) - Informática, Lda.	False
1905	Bighead Creative Co., Ltd.	False
1942	Stratus Technologies, Inc	False
1944	Sentinel Technologies, Inc.	False
1950	SaltStack, Inc	False
1954	Oracle, Hortonworks	True
1955	Hortonworks, Oracle	True
1977	Collabora, Ltd	False
1993	Vickrey & Associates, Inc	False
1994	Emination Inc, Gumma Corp	True
2005	L-3 Communications;  Salt Stack, Inc	SEMICOLON
2006	SaltStack, Inc.	False
2043	CarePoint Holdings, LLC	False
2059	Askbot, S.p.A.	True
2066	Ticketfly, Inc.	False
2083	Polaris Wireless, Inc	False
2085	TCN Broadcasting, Inc.	False
2090	Everbridge, Inc	False
2097	Nike, Inc.	False
2099	MIRANTIS, Align Technology	True
2102	University of Bergen, Norway	False
2110	SwifStack, Ancestry.com	False
2115	Bitfit, Inc.	False
2117	Cisco Systems, Intel, Microsoft, Dorkbotz	True
2133	None	True
2138	Texas Wormhole, LLC	False
2150	Sidepath, Inc.	False
2160	iPlant Collaborative, 235nuclear	True
2165	HostHallam.com, DMRT Ventures Ltd.	True
2167	QsrSoft, Inc	False
2169	SafeNet, Inc.	False
2173	Austin Software Foundry, Inc.	False
2182	Indie IT, LLC	True
2206	Cloud Technology Partners, Cloud Uze, Inc	True
2211	Red Had, Inc	False
2214	Mirantis, Inc.	False
2216	Korea Telcom, GuRuFu LLC	True
2221	Maginatics, Inc.	False
